"ID","Site","Zone","Habitat","Transect","Class","Order","Family","Genus","GenusSpecies","Length","Abundance","a","b","NT","Lm","Lmax","BodyShape","DemersPelag","PriceCateg","UsedasBait","Aquarium","Importance","Comments"
"ICOSM0","ICO","S","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes dallii","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Adults occur on or near soft bottom (Ref. 2850).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715)."
"ICOSM0","ICO","S","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes serriceps","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Occur in rocky areas, usually in crevices (Ref. 2850).  Territorial (Ref. 2850).  Viviparous (Ref. 34817)."
"BMANF1","BMA","N","F","1","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",15,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"BMANF3","BMA","N","F","3","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",200,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"BMANF0","BMA","N","F","0","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","Brachyistius frenatus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","public aquariums",NA,"Found among giant kelp, usually up in kelp canopy.  Feed on small crustaceans, especially ones that live on kelp.  Also a cleaner which picks external parasites from other fishes.  Usually occur in large aggregations in summer (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"BMANF0","BMA","N","F","0","Actinopterygii","Perciformes","Embiotocidae","Hypsurus","Hypsurus caryi","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults occur in rocky shores, often at edges of kelp beds, occasionally over sand but not in surf (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205).  Caught mostly by rocky shore fishermen.  Aggregates in the fall."
"BMANF0","BMA","N","F","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes carnatus","5",1,0.0269,3,NA,17,39,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Inhabit holes or crevices in rocky areas (Ref. 2850).  Territorial (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
"BMANM2","BMA","N","M","2","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",200,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"BMANM3","BMA","N","M","3","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",300,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",1,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","Embiotoca jacksoni","5",1,0.053184015,2.864,3.3,NA,39,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Hypsurus","Hypsurus caryi","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults occur in rocky shores, often at edges of kelp beds, occasionally over sand but not in surf (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205).  Caught mostly by rocky shore fishermen.  Aggregates in the fall."
"BMANM0","BMA","N","M","0","Actinopterygii","Perciformes","Pomacentridae","Hypsypops","Hypsypops rubicundus","5",1,0.020213841,3.0895,3.2,NA,NA,"short and / or deep","reef-associated","unknown","never/rarely","never/rarely",NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
